"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","parentTerm"
"22","GO:0033002","muscle cell proliferation","7/35","251/18805",0.0278884462151394,14.9840637450199,9.63115753781992,3.39356351318515e-07,1.1044506706548e-05,6.20258977051066e-06,"MIR199B/MIR185/MIR665/MIR17/MIR145/MIR509-1/MIR590",7,"muscle cell proliferation"
"23","GO:0043487","regulation of RNA stability","8/35","287/18805",0.0278745644599303,14.9766052762568,10.3032115185821,4.39555068391664e-08,2.09814285978954e-06,1.17831604298678e-06,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"24","GO:0061013","regulation of mRNA catabolic process","8/35","290/18805",0.0275862068965517,14.8216748768473,10.2429445305289,4.76331059643339e-08,2.13158149190394e-06,1.19709516305102e-06,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"25","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","5/35","182/18805",0.0274725274725275,14.7605965463108,8.05517799081985,2.0615901790579e-05,0.000254499753138872,0.000142926941633416,"MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",5,"regulation of cellular response to growth factor stimulus"
"26","GO:0043534","blood vessel endothelial cell migration","5/35","183/18805",0.0273224043715847,14.67993754879,8.03014718563832,2.11667845036951e-05,0.000256871486519418,0.000144258905984148,"MIR505/MIR126/MIR10B/MIR31/MIRLET7F1",6,"endothelial cell migration"
"27","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","5/35","185/18805",0.027027027027027,14.5212355212355,7.98067105711404,2.23029249972594e-05,0.000266148238300629,0.00014946872542023,"MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",5,"regulation of cellular response to growth factor stimulus"
"28","GO:1905952","regulation of lipid localization","5/35","189/18805",0.0264550264550265,14.2139077853364,7.88398874796482,2.47174099305782e-05,0.000285446217907968,0.000160306461688979,"MIR185/MIR10B/MIR17/MIR145/MIR33B",5,"lipid localization"
"29","GO:0006402","mRNA catabolic process","8/35","357/18805",0.0224089635854342,12.0400160064026,9.09402561749054,2.34704619879519e-07,8.84465830703873e-06,4.96715594426462e-06,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"30","GO:0010594","regulation of endothelial cell migration","5/35","236/18805",0.0211864406779661,11.3831719128329,6.93136541633281,7.12363790774441e-05,0.000772806779082575,0.000434007923565927,"MIR505/MIR126/MIR10B/MIR31/MIRLET7F1",6,"endothelial cell migration"
"31","GO:0007179","transforming growth factor beta receptor signaling pathway","5/35","252/18805",0.0198412698412698,10.6604308390023,6.66678885727636,9.70663093478863e-05,0.00100645016864587,0.000565221941227173,"MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",5,"regulation of cellular response to growth factor stimulus"
