mirna,protein,cor_score,pval,adj_pval,de_mirna,de_prot,both_de,is_target
hsa-miR-148b-5p,ANXA7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-148b-5p,CPNE3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,F13A1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,HSPA1A,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,IGLV7-46,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,PFN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,RAB7A,0.9636,0,0.0182,FALSE,FALSE,FALSE,TRUE
hsa-miR-148b-5p,RHOA,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-148b-5p,SERPINA1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-148b-5p,WASF2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-26a-2-3p,MYH9,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-let-7i-3p,APOD,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,ANXA7,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,B2M,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,CD9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,GP1BA,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,HLA-A,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,HSPA8,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,PECAM1,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,PFN1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,RAB11B,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,SLC2A3,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,SRC,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-10527-5p,VAMP3,-0.9879,0,0.0011,FALSE,FALSE,FALSE,FALSE
hsa-miR-6502-5p,C8G,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-3613-3p,ANXA7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3613-3p,PFN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3613-3p,RAB7A,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3613-3p,SERPINA1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3613-3p,SLC2A3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-19b-3p,ANXA11,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-19b-3p,CD9,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-624-5p,SERPINA3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-4504,C5,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-5586-5p,PSMA1,0.9879,0,0.0011,FALSE,FALSE,FALSE,FALSE
hsa-miR-5586-5p,PSMA4,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-5586-5p,PSMA7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-4708-3p,SELENOP,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-151b,GANAB,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
