Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
s_m,hsa-miR-324-5p,hsa-miR-324-5p,121,0.3692,1.5516,0.0068,0.0205,0.0109,182,tags=38% list=26% signal=34%,NCKAP1/SLC16A1/LYN/RAP2B/TRIM28/ROCK2/ANXA6/ALDOA/SLC2A3/WASF2/PKM/YWHAH/PSMA4/ANXA11/ILK/CRTAC1/VCP/DDX21/FNBP4/ARF3/HSPA8/PGK1/SLC25A3/TRAP1/LDHB/SUSD1/ANXA7/SF3B2/YWHAQ/RPL27/ADCY6/MCM6/YWHAG/TUBA1B/RPS2/GPI/PDIA3/RPS6/FBL/GNB1/FLNA/ATP6V1A/PSMA7/CFL1/LRPPRC/HSPB1
s_m,hsa-miR-1287-5p,hsa-miR-1287-5p,99,0.3669,1.5016,0.0069,0.0207,0.011,244,tags=47% list=34% signal=36%,NCKAP1/CALM1/SLC16A1/CIB1/TRIM28/CAPZB/NAP1L4/ALDOA/ST8SIA4/PKM/RAB7A/YWHAH/RAF1/PSMA6/ITGB3/VCP/RAP1B/HSPA8/TLN1/PGK1/PAK2/ANXA7/PHB2/YWHAQ/HSP90B1/MYO18A/MCM6/RAB8B/GNB1/FLNA/HSPB1/ACTB/CPNE2/CD226/FLOT1/CORO1C/PARVB/PCBP2/HSP90AB1/GNG5/FLOT2/ACADVL/RPL14/ULK1/GART/PRDX1/DDX39A
s_m,hsa-miR-27a-5p,hsa-miR-27a-5p,184,0.3321,1.4736,0.007,0.0208,0.0111,244,tags=43% list=34% signal=38%,CALM1/RAP2B/TRIM28/CMIP/RAC1/PTPRA/WASF2/PKM/RBM42/YWHAH/PSMA3/PSMA4/ILK/RAF1/CRTAC1/DIAPH1/VCP/DDX21/RAB2A/YWHAB/ARF3/HSPA8/TLN1/PRKCSH/SLC25A3/TXNRD1/TRAP1/ITGB1/LDHB/MYLK/FERMT3/SLC30A1/STX7/SF3B2/ATP5F1A/VCL/HSP90B1/CD44/RAB11B/MCM6/BSG/SRC/YWHAG/WDR1/PSMA1/TUBA1B/PTPRJ/GPI/RPL29/H2BC12/HSP90AA1/GNB1/FLNA/SLC35A4/PSMA7/NONO/ENO1/SETD1A/PEBP1/NACA/IL1RAP/RPL18/PHF6/PSMB8/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/SHB/HSP90AB1/MSN/RPL14/HSPD1/FGFR1/HNRNPK/PRDX1/HYOU1/G6PD/DDX39A
s_m,hsa-miR-30a-3p,hsa-miR-30a-3p,181,0.3275,1.4488,0.0073,0.0215,0.0115,259,tags=46% list=37% signal=39%,NCKAP1/SLC16A1/TRIM28/STOM/ROCK2/NAP1L4/DEK/ARPC2/PTPRA/WASF2/PKM/C1QBP/YWHAH/ILK/CD9/PSMA6/DIAPH1/VCP/DDX21/VTI1B/YWHAB/ARF3/TLN1/PRKCSH/SLC44A1/ITGB1/RPL35/SLC30A1/PAK2/CPNE3/SF3B2/YWHAQ/YWHAZ/ATP5F1A/VCL/HSP90B1/MYO18A/CD44/RAB11B/MCM6/BSG/SRC/YWHAG/WDR1/RPL27A/PGD/YWHAE/CAPZA1/HSP90AA1/GNB1/FLNA/HLA-A/PSMA7/HNRNPD/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ENO1/SLC44A2/CORO1C/GNAS/ATP1A1/HSP90AB1/GAPDH/EIF2A/ANXA2/TFAM/NCAM1/MSN/GART/HNRNPK/RPL13/PRDX1/G6PD/EEF1A1/GRPEL1/RPS9/PSMA2/EEF2/VIM
s_m,hsa-miR-33b-3p,hsa-miR-33b-3p,46,0.451,1.5873,0.0075,0.0221,0.0118,219,tags=54% list=31% signal=40%,CALM1/RAC1/DEK/PTPRA/PKM/DIAPH1/ANXA5/DDX21/CD47/RAP1B/YWHAB/TLN1/CD55/SF3B2/YWHAQ/SPN/RPS2/PTPRJ/PGD/HLA-A/TENT4B/ENO1/CORO1C/HSP90AB1/GAPDH
s_m,hsa-miR-3928-3p,hsa-miR-3928-3p,50,0.4466,1.5966,0.0076,0.0222,0.0118,233,tags=54% list=33% signal=39%,CALM1/SLC16A1/PFN1/TRIM28/ROCK2/DDX21/FNBP4/UGP2/HSPA8/TXNRD1/CPNE3/ANXA7/YWHAZ/HSP90B1/YWHAG/RPS2/HSP90AA1/GNB1/ATP6V1A/CFL1/IGF2BP3/ACTB/CD226/PHF6/HSP90AB1/MSN/ULK1
s_m,hsa-miR-28-3p,hsa-miR-28-3p,104,0.3753,1.5545,0.0079,0.023,0.0123,263,tags=47% list=37% signal=35%,NCKAP1/SLC16A1/TRIM28/CMIP/RAC1/WASF2/PKM/F11R/RAB7A/YWHAH/RAF1/VCP/DDX21/FNBP4/CD47/UGP2/HSPA8/PRKCSH/TRAP1/LDHB/PAK2/RPL9/SF3B2/YWHAQ/RPL27/MYO18A/RAB11B/YWHAG/WDR1/GPI/FLNA/HNRNPD/TENT4B/CAP1/ACTB/PHF6/GNAS/HSP90AB1/EIF2A/ANXA2/TFAM/NID1/HNRNPK/G6PD/GRPEL1/CHMP6/EEF2/VIM/ITGA6
s_m,hsa-miR-500a-5p,hsa-miR-500a-5p,38,0.4795,1.6275,0.0081,0.0235,0.0125,218,tags=55% list=31% signal=40%,DEK/ARPC2/SLC2A3/YWHAH/TMBIM1/TXNRD1/LDHB/YWHAQ/TPP2/YWHAG/PSMA1/TUBA1B/PTPRJ/PGD/CAPZA1/HADHB/RPA1/CPNE1/PHF6/MPIG6B/HSP90AB1
s_m,hsa-miR-582-5p,hsa-miR-582-5p,107,0.3722,1.5465,0.0083,0.024,0.0128,206,tags=42% list=29% signal=35%,NCKAP1/CALM1/SLC16A1/RAP2B/CMIP/CAPZB/STOM/ROCK2/RAC1/PDCD6/ANXA6/PTPRA/WASF2/VAMP3/RAB7A/TMBIM1/ADAM10/VCP/DDX21/TLN1/TXNRD1/SLC30A1/PAK2/YWHAZ/VCL/HSP90B1/CCT8/WDR1/TUBA1B/PTPRJ/PDIA3/HSP90AA1/CAVIN2/GNB1/FLNA/ATP6V1A/HNRNPD/LRPPRC/TENT4B/ENO1/CPNE1/PEBP1/NACA/RPL18/PHF6
s_m,hsa-miR-95-3p,hsa-miR-95-3p,47,0.4377,1.5437,0.0085,0.0244,0.013,216,tags=49% list=31% signal=36%,CALM1/CMIP/ROCK2/ARPC2/PTPRA/WASF2/VAMP3/RAP1B/SLC25A3/SLC44A1/PECAM1/TUBA1B/PTPRJ/CAPZA1/HSP90AA1/ATP6V1A/TENT4B/NRAS/ENO1/GNAI2/PCBP2/ATP1A1/YARS1
s_m,hsa-miR-664a-3p,hsa-miR-664a-3p,32,0.4854,1.5909,0.009,0.0259,0.0138,190,tags=47% list=27% signal=36%,NCKAP1/CALM1/SLC16A1/ST8SIA4/PKM/PSMA3/CD55/STX7/HSP90B1/YES1/HLA-A/ATP6V1A/LRPPRC/RPA1/ACTB
s_m,hsa-miR-548k,hsa-miR-548k,54,0.4268,1.5446,0.0091,0.0259,0.0138,176,tags=50% list=25% signal=41%,CAPZB/RAC1/PKM/C1QBP/TMBIM1/RHOA/DIAPH1/CD47/ARF3/TLN1/SLC30A1/STX7/YWHAQ/YWHAZ/ATP5F1A/ADCY6/YWHAG/PSMA1/PDIA3/RPS6/YWHAE/CAPZA1/HSP90AA1/CD82/RAB8B/FLNA/CFL1
s_m,hsa-miR-23a-5p,hsa-miR-23a-5p,30,0.4869,1.5734,0.0093,0.0265,0.0141,96,tags=27% list=14% signal=24%,NCKAP1/TRIM28/CMIP/PKM/RAB7A/RHOA/DIAPH1/SLC25A3
s_m,hsa-miR-362-3p,hsa-miR-362-3p,41,0.4623,1.5992,0.0096,0.0272,0.0145,226,tags=46% list=32% signal=33%,CD99/RDX/RAP2B/CAPZB/ALDOA/RTCB/DIAPH1/YWHAB/ARF3/SLC44A1/HSPA1A/MCM6/HSP90AA1/CD82/ATP6V1A/CPNE1/IL1RAP/SHB/NCAM1
