Variable,Control,Mild,Severe,p-value
Gender (Male/Female),1/3,0/4,0/4,1
Smoking (yes/no),1/3,1/3,0/4,1
Age (years),36.5 (33-38.75),32 (28.25-35.25),31.5 (25.5-40.25),0.6649
Onset age (years),-,12.5 (9.25-18.25),15 (7.5-22.25),0.7728
HB WBC (10^3/uL),5.47 (4.96-6.14),6.46 (6.3425-6.87),6.865 (6.1875-7.4425),0.2319
HB PLT (10^3/uL),193.5 (181.25-238),251 (236.25-274.25),260.5 (219-305.75),0.3897
PRP MPV (fL),8.7 (8.3-9.05),9.85 (9.5-10.025),9.15 (8.975-9.475),0.1525
PRP PLT (10^3/uL),732 (511-1052.25),1205 (1099.5-1404.25),1137 (990.25-1233.25),0.2921
