SYMBOL,ENTREZID,UniProt Entry,Ocurrence
ETS1,2113,P14921,1
EVI2B,2124,P34910,1
F2R,2149,P25116,1
FABP5,2171,Q01469,1
FAS,355,P25445,1
FCER1G,2207,P30273,1
FCGR2A,2212,P12318,1
FES,2242,P07332,1
FFAR2,2867,O15552,1
FFAR3,2865,O14843,1
FHL3,2275,Q13643,1
FOLR3,2352,P41439,1
FOSB,2354,P53539,1
FOXQ1,94234,Q9C009,1
FSTL1,11167,Q12841,1
FTH1,2495,P02794,1
FZD2,2535,Q14332,1
GART,2618,P22102,1
GASK1B,51313,Q6UWH4,1
GATA3,2625,P23771,1
GBP1,2633,P32455,1
GFI1B,8328,Q5VTD9,1
GGT5,2687,P36269,1
GLRX,2745,P35754,1
GLUL,2752,P15104,1
GPC4,2239,O75487,1
GPR68,8111,Q15743,1
GPX4,2879,P36969,1
GSDMD,79792,P57764,1
GSN,2934,P06396,1
GTF2H1,2965,P32780,1
GUSB,2990,P08236,1
H1-2,3006,P16403,1
H2AC19,723790,Q6FI13,1
H2AC21,317772,Q8IUE6,1
H2AC7,3013,P20671,1
HBB,3043,P68871,1
HCK,3055,P08631,1
HDAC2,3066,Q92769,1
HDAC3,8841,O15379,1
HIF1A,3091,Q16665,1
HK3,3101,P52790,1
HLA-DMA,3108,P28067,1
HLA-DPA1,3113,P20036,1
HLA-DPB1,3115,P04440,1
HLA-DQA1,3117,P01909,1
HLA-DQA2,3118,P01906,1
HLA-DQB1,3119,P01920,1
HLA-DRB1,3123,P01911,1
HLA-DRB4,3126,P13762,1
HLA-DRB5,3127,Q30154,1
HMGB2,3148,P26583,1
HMOX1,3162,P09601,1
HNMT,3176,P50135,1
HPSE,10855,Q9Y251,1
HRH1,3269,P35367,1
HRH4,59340,Q9H3N8,1
HSD17B11,51170,Q8NBQ5,1
HSPD1,3329,P10809,1
ICAM3,3385,P32942,1
ICOSLG,23308,O75144,1
IFI16,3428,Q16666,1
IFI44,10561,Q8TCB0,1
IFI44L,10964,Q53G44,1
IFITM3,10410,Q01628,1
IFNGR2,3460,P38484,1
IGHA1,3493,P01876,1
IGHG4,3503,P01861,1
IGKC,3514,P01834,1
IGSF6,10261,O95976,1
IL13RA1,3597,P78552,1
IL15,3600,P40933,1
IL18BP,10068,O95998,1
IL1RL1,9173,Q01638,1
IL23A,51561,Q9NPF7,1
IL31,386653,Q6EBC2,1
IL5RA,3568,Q01344,1
IRAK3,11213,Q9Y616,1
IRF5,3663,Q13568,1
ISG15,9636,P05161,1
ISG20,3669,Q96AZ6,1
ITGA5,3678,P08648,1
ITGAL,3683,P20701,1
ITGB2,3689,P05107,1
JAK2,3717,O60674,1
KAT2B,8850,Q92831,1
KRT23,25984,Q9C075,1
LDHA,3939,P00338,1
LGALS1,3956,P09382,1
LGALS12,85329,Q96DT0,1
LGALS2,3957,P05162,1
LGALS9,3965,O00182,1
LILRA3,11026,Q8N6C8,1
LILRB2,10288,Q8N423,1
LILRB4,11006,Q8NHJ6,1
LIPA,3988,P38571,1
LITAF,9516,Q99732,1
LRG1,116844,P02750,1
LST1,7940,O00453,1
LY6E,4061,Q16553,1
LYZ,4069,P61626,1
MAF,4094,O75444,1
MAP1LC3B,81631,Q9GZQ8,1
MAP3K1,4214,Q13233,1
MAPK14,1432,Q16539,1
MAPK3,5595,P27361,1
MARCKS,4082,P29966,1
MARCKSL1,65108,P49006,1
MARCO,8685,Q9UEW3,1
MBD2,8932,Q9UBB5,1
MEFV,4210,O15553,1
MGST1,4257,P10620,1
MIR101-1,406893,,1
MIR146B,574447,,1
MIR150,406942,,1
MIR152,406943,,1
MIR193B,574455,,1
MIR202,574448,,1
MIR24-1,407012,,1
MIR339,442907,,1
MIR375,494324,,1
MMP10,4319,P09238,1
MMP25,64386,Q9NPA2,1
MSMB,4477,P08118,1
MX1,4599,P20591,1
MXD1,4084,Q05195,1
NAMPT,10135,P43490,1
NCF2,4688,P19878,1
NFATC1,4772,O95644,1
NGF,4803,P01138,1
NLRP3,114548,Q96P20,1
NOD2,64127,Q9HC29,1
NPC2,10577,P61916,1
NR1D1,9572,P20393,1
NR1D2,9975,Q14995,1
OLIG1,116448,Q8TAK6,1
P2RX7,5027,Q99572,1
P2RY13,53829,Q9BPV8,1
P2RY14,9934,Q15391,1
PABPC1,26986,P11940,1
PADI4,23569,Q9UM07,1
PDE3A,5139,Q14432,1
PDE4A,5141,P27815,1
PELI1,57162,Q96FA3,1
PIGR,5284,P01833,1
PLA2G7,7941,Q13093,1
PLAC8,51316,Q9NZF1,1
PLBD1,79887,Q6P4A8,1
PRNP,5621,P04156,1
PROK2,60675,Q9HC23,1
PRR7,80758,Q8TB68,1
PSCA,8000,O43653,1
PSME2,5721,Q9UL46,1
PTGDR2,11251,Q9Y5Y4,1
PTGER1,5731,P34995,1
PTGER2,5732,P43116,1
PTGER3,5733,P43115,1
PTGER4,5734,P35408,1
PTGS2,5743,P35354,1
PYCARD,29108,Q9ULZ3,1
QPCT,25797,Q16769,1
RAB44,401258,Q7Z6P3,1
RAMP1,10267,O60894,1
RBP7,116362,Q96R05,1
RETN,56729,Q9HD89,1
RGL4,266747,Q8IZJ4,1
RGS2,5997,P41220,1
RHOH,399,Q15669,1
RIPOR2,9750,Q9Y4F9,1
RNASE2,6036,P10153,1
RNASE6,6039,Q93091,1
RNASET2,8635,O00584,1
RNF20,56254,Q5VTR2,1
RPL17,6139,P18621,1
RPL36A,6173,P83881,1
RPS15,6209,P62841,1
S100A10,6281,P60903,1
S100A6,6277,P06703,1
S100P,6286,P25815,1
SAT1,6303,P21673,1
SDS,10993,P20132,1
SELP,6403,P16109,1
SEMA7A,8482,O75326,1
SERPINB3,6317,P29508,1
SERPINB9,5272,P50453,1
SERPINH1,871,P50454,1
SHISAL2A,348378,Q6UWV7,1
SIGLEC1,6614,Q9BZZ2,1
SLAMF7,57823,Q9NQ25,1
SLAMF8,56833,Q9P0V8,1
SLC12A8,84561,A0AV02,1
SLC15A3,51296,Q8IY34,1
SLC25A37,51312,Q9NYZ2,1
SLC2A3,6515,P11169,1
SLCO2B1,11309,O94956,1
SOCS3,9021,O14543,1
SOD2,6648,P04179,1
SPINT2,10653,O43291,1
SRGN,5552,P10124,1
STAB1,23166,Q9NY15,1
STAT3,6774,P40763,1
SULF1,23213,Q8IWU6,1
TAP2,6891,Q03519,1
TFF3,7033,Q07654,1
TFRC,7037,P02786,1
TGFBI,7045,Q15582,1
TGM3,7053,Q08188,1
TIAM2,26230,Q8IVF5,1
TIMP1,7076,P01033,1
TKTL1,8277,P51854,1
TLR8,51311,Q9NR97,1
TMEM176B,28959,Q3YBM2,1
TMEM71,137835,Q6P5X7,1
TMPRSS11D,9407,O60235,1
TNFRSF10B,8795,O14763,1
TNFRSF10D,8793,Q9UBN6,1
TNFSF9,8744,P41273,1
TPSAB1,7177,Q15661,1
TPSD1,23430,Q9BZJ3,1
TPST1,8460,O60507,1
TREM2,54209,Q9NZC2,1
TREML2,79865,Q5T2D2,1
TRPM2,7226,O94759,1
TRPV4,59341,Q9HBA0,1
TSLP,85480,Q969D9,1
TSPO,706,P30536,1
TUBA1B,10376,P68363,1
TUG1,55000,A0A6I8PU40,1
UPK3A,7380,O75631,1
VAMP5,10791,O95183,1
VCAN,1462,P13611,1
VEGFA,7422,P15692,1
VIM,7431,P08670,1
VNN1,8876,O95497,1
VNN2,8875,O95498,1
VSTM1,284415,Q6UX27,1
WFDC2,10406,Q14508,1
WNT5A,7474,P41221,1
XAF1,54739,Q6GPH4,1
YBX1,4904,P67809,1
YWHAH,7533,Q04917,1
ZFP36L2,678,P47974,1
